        "capiendorum POKéMO\n"
2: "?????"
778: "SP. ATK & SP. DEF of\n"
779: "LATIOS & LATIAS.");

782: "Res tenenda, quae\n"
783: "IMP SP. CLAMPERL\n"
784: "auget."

787: "Res tenenda, quae\n"
788: "DEF SP. CLAMPERL\n"
789: "auget."

792: "A hold item that\n"
793: "assures fleeing\n"
794: "from wild POKéMON.");
797: "A wondrous hold\n"
798: "item that prevents\n"
799: "evolution.");
802: "A hold item that\n"
803: "occasionally\n"
804: "prevents fainting.");
807: "A hold item that\n"
808: "boosts EXP. points\n"
809: "earned in battle.");
812: "A hold item that\n"
813: "improves the\n"
814: "critical-hit rate.");
817: "A hold item that\n"
818: "raises the power of\n"
819: "STEEL-type moves.");
822: "A hold item that\n"
823: "gradually restores\n"
824: "HP in battle.");
827: "A strange scale\n"
828: "held by DRAGON-\n"
829: "type POKéMON.");
832: "A hold item that\n"
833: "raises the SP. ATK\n"
834: "of PIKACHU.");
837: "A hold item that\n"
838: "raises the power of\n"
839: "GROUND-type moves.");
842: "A hold item that\n"
843: "raises the power of\n"
844: "ROCK-type moves.");
847: "A hold item that\n"
848: "raises the power of\n"
849: "GRASS-type moves.");

      |===================|
852:  "Res tenenda, quae\n"
853:  "vim motus typi\n"
854:  "NOCTE auget."

857: "A hold item that\n"
858: "boosts FIGHTING-\n"
859: "type moves.");
862: "A hold item that\n"
863: "boosts ELECTRIC-\n"
864: "type moves.");
867: "A hold item that\n"
868: "raises the power of\n"
869: "WATER-type moves.");
872: "A hold item that\n"
873: "raises the power of\n"
874: "FLYING-type moves.");
877: "A hold item that\n"
878: "raises the power of\n"
879: "POISON-type moves.");
882: "A hold item that\n"
883: "raises the power of\n"
884: "ICE-type moves.");
887: "A hold item that\n"
888: "raises the power of\n"
889: "GHOST-type moves.");
892: "A hold item that\n"
893: "boosts PSYCHIC-\n"
894: "type moves.");
897: "A hold item that\n"
898: "raises the power of\n"
899: "FIRE-type moves.");
902: "A hold item that\n"
903: "raises the power of\n"
904: "DRAGON-type moves.");

SILK SCARF
907: "Res tenenda, quae\n"
908: "vim motus typi\n"
909: "SOLITO auget."

912: "A peculiar box made\n"
913: "by SILPH CO.");
916: "A hold item that\n"
917: "restores HP upon\n"
918: "striking the foe.");
921: "A hold item that\n"
922: "slightly boosts\n"
923: "WATER-type moves.");
926: "A hold item that\n"
927: "slightly lowers the\n"
928: "foe's accuracy.");
931: "A hold item that\n"
932: "raises CHANSEY's\n"
933: "critical-hit rate.");
936: "A hold item that\n"
937: "raises DITTO's\n"
938: "DEFENSE.");
941: "A hold item that \n"
942: "raises CUBONE or\n"
943: "MAROWAK's ATTACK.");
946: "A hold item that\n"
947: "raises FARFETCH'D's\n"
948: "critical-hit ratio.");

RED SCARF
951: "Res tenenda, quae\n"
952: "ACRITATEM\n"
953: "in AGONIBUS auget."

BLUE SCARF
956: "Res tenenda, quae\n"
957: "PULCHRITUDINEM\n"
958: "in AGONIBUS auget."

PINK SCARF
961: "Res tenenda, quae\n"
962: "DULCITATEM\n"
963: "in AGONIBUS auget."

GREEN SCARF
966: "Res tenenda, quae\n"
967: "SOLLERTIAM\n"
968: "in AGONIBUS auget."

YELLOW SCARF
971: "Res tenenda, quae\n"
972: "FORTITUDINEM\n"
973: "in AGONIBUS auget."

MACH BIKE
977: "Birota plicatilis\n"
978: "quae velocitatem\n"
979: "tuam duplicat."

COIN CASE
982: "Theca quae usque\n"
983: "9,999 NUMMOS tenet."

986: "Machinulam, quae\n"
987: "sono utens rem\n"
988: "invisibilem indicat."

      |===================|
991:  "Utere apud aquam,\n"
992:  "ut pisceris POKéMON\n"
993:  "silvestres."

996:  "Virga piscandi\n"
997:  "decens ob capiendum\n"
998:  "POKéMON silvestres."

1001: "Virga piscandi\n"
1002: "optima ob capiendum\n"
1003: "POKéMON silvestres."

      |===================|
1006: "Tessera necessaria\n"
1007: "ad navigandum in\n"
1008: "portitore."

1011: "The pass required\n"
1012: "for entering\n"
1013: "POKéMON CONTESTS.");

      |===================|
1016: "Ad irrigationem\n"
1017: "BACCARUM et\n"
1018: "olerum uti potes."

      |===================|
1021: "Fasciculus, qui\n"
1022: "continet machinae\n"
1023: "partes DEVON."

SOOT SACK
1026: "SACCO ad habendum et\n"
1027: "colligendum cineris\n"
1028: "volcanii uti potes."

1031: "The key for NEW\n"
1032: "MAUVILLE beneath\n"
1033: "MAUVILLE CITY.");

ACRO BIKE
1036: "Birota plicatilis\n"
1037: "saltandi et in rota\n"
1038: "postica standi capax."

1041: "A case for holding\n"
1042: "{POKEBLOCK}S made with\n"
1043: "a BERRY BLENDER.");

      |===================|
1046: "Epistola PRAEFECTI\n"
1047: "SOCIETATIS DEVON\n"
1048: "ad AURELIUM"

1051: "The ticket for a\n"
1052: "ferry to a distant\n"
1053: "southern island.");

RED ORB
1056: "Orbis ruber\n"
1057: "ardensque antiquam\n"
1058: "vim continet."

BLUE ORB
1061: "Orbis caeruleus\n"
1062: "ardensque antiquam\n"
1063: "vim continet."

SCANNER
1066: "Instrumentum intra\n"
1067: "NAVIM PERDITAM\n"
1068: "inventum."

GO-GOGGLES
1071: "Guggulae idoneae\n"
1072: "quae oculos ab\n"
1073: "arenis protegunt."

METEORITE
1076: "Meteorum inventum\n"
1077: "CATARACTA METEORI."

ABANDONED SHIP KEYS
1080: "Clavis quae ianuam\n"
1081: "in NAVE PERDITA\n"
1082: "aperit."

1085: "Clavis quae ianuam\n"
1086: "in NAVE PERDITA\n"
1087: "aperit."

1090: "Clavis quae ianuam\n"
1091: "in NAVE PERDITA\n"
1092: "aperit."

1095: "Clavis quae ianuam\n"
1096: "in NAVE PERDITA\n"
1097: "aperit."

STORAGE KEY
1100: "Clavis ad\n"
1101: "promptuarium in\n"
1102: "NAVE PERDITA."

1105: "A fossil of an\n"
1106: "ancient, seafloor-\n"
1107: "dwelling POKéMON.");
1110: "A fossil of an\n"
1111: "ancient, seafloor-\n"
1112: "dwelling POKéMON.");
1115: "A device by DEVON\n"
1116: "that signals any\n"
1117: "unseeable POKéMON.");

FOCUS PUNCH
1121: "Validus, sed utenti\n"
1122: "titubatio infertur\n"
1123: "si a hoste iciatur."

DRAGON CLAW
1126: "Impigit ac lacerat\n"
1127: "hostem unguibus\n"
1128: "longis, acribusque."

WATER PULSE
1131: "Undam ultrasonicam,\n"
1132: "quae stupefacere\n"
1133: "potest, causat."

CALM MIND
1136: "IMP SP. ac DEF SP.\n"
1137: "mente intendendo\n"
1138: "auget."

ROAR
1141: "Rugitus immanis qui\n"
1142: "hostem certamen\n"
1143: "effugere coget."

TOXIC
1146: "Hostem toxico quod\n"
1147: "gradatim gravius\n"
1148: "fit venenat."

HAIL
1151: "Grandinem evocat,\n"
1152: "quae typos omnes\n"
1153: "praeter GELU laedit."

BULK UP
1156: "Corpus crassificat\n"
1157: "ob ambo IMP ac DEF\n"
1158: "levandos."

BULLET SEED
1161: "Semina inter 2-5\n"
1162: "vices iacit ob\n"
1163: "hostem iciendum."

HIDDEN POWER
1166: "Vis impetus variat\n"
1167: "inter POKéMON\n"
1168: "diversa."

SUNNY DAY
1171: "Vim motumm typi\n"
1172: "IGNIS quinque\n"
1173: "vices auget."

TAUNT
1176: "Hostem inflammat ut\n"
1177: "tantum motibus uti\n"
1178: "offensis possit."

ICE BEAM
1181: "Radium iacit ut gelu\n"
1182: "frigidum qui hostem\n"
1183: "congelare potest."

BLIZZARD
1186: "Impetus nivis ac\n"
1187: "ventis ferus qui\n"
1188: "hostem gelare quit."

HYPER BEAM
1191: "Validus, sed proxima\n"
1192: "vice necesse erit\n"
1193: "recuperare."

LIGHT SCREEN
1196: "Murum ex luce\n"
1197: "creat qui damnum\n"
1198: "IMP SP. minuit."

PROTECT
1201: "Damnum omnem vetat,\n"
1202: "sed si in serie\n"
1203: "utaris deficiet."

RAIN DANCE
1206: "Vim motuum typi\n"
1207: "AQUAE quinque\n"
1208: "vicet auget."

GIGA DRAIN
1211: "Dimidium SL damni\n"
1212: "recuperat quod\n"
1213: "motus hic infligit."

SAFEGUARD
1216: "Status mala per\n"
1217: "vim arcanam\n"
1218: "prohibet."

FRUSTRATION
1221: "Quo minus utenti\n"
1222: "placeas, eo plus hic\n"
1223: "motus validior fiet."

SOLAR BEAM
1226: "Solis lucem vice\n"
1227: "prima sorbet, tum\n"
1228: "proxima impetit."

IRON TAIL
1231: "Hostem coda dura\n"
1232: "tundit. Potest\n"
1233: "DEF minuere."

THUNDERBOLT
1236: "Impetus electricus\n"
1237: "fortis qui potest\n"
1238: "paralysim dare."

THUNDER
1241: "Hostem fulmine\n"
1242: "icit. Potest\n"
1243: "paralysim dare."

EARTHQUAKE
1246: "Tremorem causat\n"
1247: "qui nullum effectum\n"
1248: "est in volantibus."

RETURN
1251: "Quo plus utenti\n"
1252: "placeas, eo validior\n"
1253: "motus hic."

DIG
1256: "Prima vice sub\n"
1257: "terram fodit, tum\n"
1258: "proxima assilit."

PSYCHIC
1261: "Impetus fortis\n"
1262: "mentalis qui DEF SP.\n"
1263: "minuere potest."

SHADOW BALL
1266: "Globum nigrum iacit\n"
1267: "in hostem. Potest\n"
1268: "DEF SP. minuere."

BRICK BREAK
1271: "Obices ut LUCIS\n"
1272: "VELUM frangit\n"
1273: "et damnum infligit."

DOUBLE TEAM
1276: "Imitamina simulata\n"
1277: "creat ad augendam\n"
1278: "elusitatem."

REFLECT
1281: "Murum e lumine facit\n"
1282: "qui impetos physicos\n"
1283: "elevat."

SHOCK WAVE
1286: "Hostem unda excutit\n"
1287: "electrica quae\n"
1288: "numquam deficit."

FLAMETHROWER
1291: "Flumen igneum\n"
1292: "liberat quod hostem\n"
1293: "adurere potest."

SLUDGE BOMB
1296: "Pituita in hostem\n"
1297: "conicit. Potest\n"
1298: "hostem venenare."

SANDSTORM
1301: "Procellam arenosam\n"
1302: "causat quae hostem\n"
1303: "vices multas laedit."

FIRE BLAST
1306: "Impetus fortis\n"
1307: "igneus qui hostem\n"
1308: "adurere potest."

ROCK TOMB
1311: "Hostem lapidibus\n"
1312: "movere prohibet et\n"
1313: "CELER. minuit."

AERIAL ACE
1316: "Impetus maximopere\n"
1317: "velox qui non\n"
1318: "elusum esse potest."

TORMENT
1321: "Prohibet hostem\n"
1322: "eodem motu uti\n"
1323: "in serie."

FACADE
1326: "IMP auget si sit\n"
1327: "venenatum, adustum\n"
1328: "an paralysim habet."

SECRET POWER
1331: "Effectum impetui\n"
1332: "addit secundum\n"
1333: "loci naturam."

REST
1336: "Qui utitur, 2 vices\n"
1337: "dormit ut salutem\n"
1338: "et statum recuret."

ATTRACT
1341: "Efficit ut difficile\n"
1342: "sit hostem sexu\n"
1343: "contrario impetere."

THIEF
1346: "Dum impetit, potest\n"
1347: "rem a hoste tentam\n"
1348: "furari."

STEEL WING
1351: "Alas acie dura\n"
1352: "extendit et in\n"
1353: "hostem incurrit."

SKILL SWAP
1356: "Opes cum hoste\n"
1357: "permutat vice\n"
1358: "in qua utaris."

SNATCH
1361: "Effecta motus quo\n"
1362: "hostis uti conatur\n"
1363: "furatur."

OVERHEAT
1366: "Efficit ut summa vi\n"
1367: "impetat, sed IMP SP.\n"
1368: "praecipiter minuit."

CUT
1372: "Hostem laminis\n"
1373: "acribus aut\n"
1374: "unguibus impetit."

FLY
1377: "Vice prima sursum\n"
1378: "volat, tum vice\n"
1379: "proxima impetit."

SURF
1382: "Undam magnam creat,\n"
1383: "tum vi super hoste\n"
1384: "cadit."

STRENGTH
1387: "Vim ingentem\n"
1388: "exstruit, tum\n"
1389: "tundit hostem."

FLASH
1392: "Flabrum fortem ex\n"
1393: "luce emittit quod\n"
1394: "accurat. minuit."

ROCK SMASH
1397: "Impetus lapidem\n"
1398: "frangens qui DEF.\n"
1399: "minuere potest."

WATERFALL
1402: "Hostem tanta vi\n"
1403: "impetit ut scandat\n"
1404: "cataractam."

DIVE
1407: "Urinatur sub aquam\n"
1408: "prima vice, tum\n"
1409: "proxima assilit."



1413: "A parcel for PROF.\n"
1414: "OAK from a POKéMON\n"
1415: "MART's clerk.");
1418: "A sweet-sounding\n"
1419: "flute that awakens\n"
1420: "POKéMON.");
1423: "The key to the\n"
1424: "CINNABAR ISLAND\n"
1425: "GYM's entrance.");

      |===================|
BIKE VOUCHER
1428: "Chartula voti\n"
1429: "birotae in TABERNA\n"
1430: "BIROTARUM donandae."

1433: "Gold dentures lost\n"
1434: "by the SAFARI\n"
1435: "ZONE's WARDEN.");
1438: "A stone containing\n"
1439: "the genes of an\n"
1440: "ancient POKéMON.");
1443: "A card-type door\n"
1444: "key used in SILPH\n"
1445: "CO's office.");
1448: "An elevator key\n"
1449: "used in TEAM\n"
1450: "ROCKET's HIDEOUT.");
1453: "A piece of an\n"
1454: "ancient marine\n"
1455: "POKéMON's seashell.");
1458: "A piece of an\n"
1459: "ancient marine\n"
1460: "POKéMON's shell.");
1463: "SILPH CO's scope\n"
1464: "makes unseeable\n"
1465: "POKéMON visible.");

BIKE
1468: "Birota plicatilis\n"
1469: "quae celerior quam\n"
1470: "ATHLETICI est."

1473: "Can be viewed\n"
1474: "anytime. Shows your\n"
1475: "present location.");
1478: "A rechargeable unit\n"
1479: "that flags battle-\n"
1480: "ready TRAINERS.");
1483: "Stores information\n"
1484: "on famous people\n"
1485: "for instant recall.");
1488: "A convenient case \n"
1489: "that holds TMs and\n"
1490: "HMs.");
1493: "A convenient\n"
1494: "container that\n"
1495: "holds BERRIES.");
1498: "A TV set tuned to\n"
1499: "an advice program\n"
1500: "for TRAINERS.");
1503: "A pass for ferries\n"
1504: "between ONE, TWO,\n"
1505: "and THREE ISLAND.");
1508: "For ferries serving\n"
1509: "VERMILION and the\n"
1510: "SEVII ISLANDS.");
1513: "A thirst-quenching\n"
1514: "tea prepared by an\n"
1515: "old lady.");
1518: "A ticket required\n"
1519: "to board the ship\n"
1520: "to NAVEL ROCK.");
1523: "A ticket required\n"
1524: "to board the ship\n"
1525: "to BIRTH ISLAND.");
1528: "Stores BERRY\n"
1529: "POWDER made using\n"
1530: "a BERRY CRUSHER.");
1533: "An exquisite, red-\n"
1534: "glowing gem that\n"
1535: "symbolizes passion.");
1538: "A brilliant blue gem\n"
1539: "that symbolizes\n"
1540: "honesty.");
1544: "A medal-like item in\n"
1545: "the same shape as\n"
1546: "TEAM MAGMA's mark.");
1549: "A faded sea chart\n"
